Name,Description,Image URL
Bright Lights,"The intense dazzling yellow to reddish orange single flowers on this striking species Cosmos attracts bumblebees, birds, and beneficial insects, and looks terrific in a cut flower bouquet. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2399-1_515x640_crop_center.jpg?v=1610656856
Dwarf Purple,"Sow Dwarf Purple Alyssum seeds around the edge of veggie beds to improve pollination, or sprinkle them between cracks and paving stones to fill in with a moss-like appearance, followed by scores of tiny purple flowers. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3838-Dwarf-Purple-Alyssum-Seeds_515x640_crop_center.jpg?v=1610655644
Granon Organic Corn Salad,"Granon is a particularly robust corn salad with high yields. Granon Seeds produce a plant with round and thick leaves, and a wide leaf blade up to the beginning of the stem. Read More",//www.westcoastseeds.com/cdn/shop/products/MS477-12_515x640_crop_center.jpg?v=1610578071
Snow Cloth,Low growing annual mounds of white flowers give off a rich honey perfume. Snow Cloth is great as living mulch and attractor of beneficial insects in the veggie garden. Read More,//www.westcoastseeds.com/cdn/shop/products/FL2037-1_515x640_crop_center.jpg?v=1610656432
Moranga,"Moranga simply means 'pumpkin' in Portuguese, and it is sometimes listed as abóbora moranga. Its sweetness and pleasant texture make it an excellent cooking pumpkin, but its deep lobes and pinky orange exterior make it highly ornamental as well. Read More",//www.westcoastseeds.com/cdn/shop/products/PU677-Moranga-0X7A0504_515x640_crop_center.jpg?v=1586483902
Rose Antique Gem,"Pink and maroon tipped petals surround a bright yellow centre streaked with distinctive black markings. Rose Antique Gem are hybrid pansies that are heat tolerant, but also have strong overwintering ability. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3863-Viola-F1-Gem-Rose-Antique-1_515x640_crop_center.jpg?v=1610654649
Queeny Lime Orange,"Queeny Lime Orange Zinnias have branching stems that grow to about 90cm (36"") tall. Atop each stem is a flower of immense beauty that starts out lime green, but as its petals unfold they turn to deep peach and then orange. Read More",//www.westcoastseeds.com/cdn/shop/products/FL1219-Queeny-Orange-Lime-0X7A3883_515x640_crop_center.jpg?v=1610656636
Annual Ryegrass Organic,"With its dense roots, Annual Ryegrass Organic penetrates even hard packed soil to introduce oxygen and water pathways that can be used by other plants when it dies back at frost. Its foliage loads up with carbon and nitrogen, which is then released to the crops that follow. Read More",//www.westcoastseeds.com/cdn/shop/products/CC512-Annyal-Ryegrass_515x640_crop_center.jpg?v=1610656480
Microgreen Sunflower Seeds,"CERTIFIED ORGANIC! Microgreen sunflower seeds produce seedlings that contain about 25% protein. They are big and succulent like mung bean sprouts, but with large, prominent cotyledons (first leaves). Read More",//www.westcoastseeds.com/cdn/shop/products/Microgreen-Sunflower-Seeds-MG435-1_515x640_crop_center.jpg?v=1610656918
Little Fingers,"The ultimate in baby carrots, Little Fingers is a fast-maturing Nantes type with smooth, golden orange skins, crisp texture, and a tender core. Read More",//www.westcoastseeds.com/cdn/shop/products/CR275-1_515x640_crop_center.jpg?v=1610581739
Peppermint,"Hot, rich mint aroma issues from the crushed or dried leaves of this spreading perennial plant. Consider growing Peppermint seeds in containers, as it will become hard to control over the years. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1090-1_515x640_crop_center.jpg?v=1610656919
Sugar Daddy,"A very productive, 60-75cm (24-30"") bushy plant that benefits from some support, Sugar Daddy snap pea seeds produce pods that become uniquely stringless, 8cm (3"") snap peas. Read More",//www.westcoastseeds.com/cdn/shop/products/PE618-1_515x640_crop_center.jpg?v=1610588549
Tall Mixed Cornflowers,"A mix of purple, blue, pink, and white papery blossoms bring summer colour to the garden. They are an excellent cut flower and they dry well, looking fresh for ages. Cornflowers are highly attractive to pollinators and beneficial insects like Syrphid flies. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2188-1_515x640_crop_center.jpg?v=1610656550
Pacific Beauty Mix,"Semi-double flowers glow in warm apricot, cream, gold, and shades of yellow offering a brilliant range of coloured blooms. Pacific Beauty Mix have long stems, excellent for cutting. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2241-1_515x640_crop_center.jpg?v=1610656983
Greek Oregano,"Greek oregano seeds offer the best, most pungently flavoured oregano leaves for cooking. Plants are very hardy when established and impart a wonderful wild mountain aroma in the garden with their tiny white or pink flowers. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1116-1_515x640_crop_center.jpg?v=1610656371
California Orange,"This is the true orange single California poppy, and the state flower of California. California Orange California poppy seeds are great in wild looking beds, the colour is intensified when grown near anything purple. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3086-1_515x640_crop_center.jpg?v=1610582837
Wildfire Arugula,"Wildfire arugula seeds produce a beautiful sweet flavour followed by a mild peppery kick. This superb arugula grows like wildfire, and is... Read More",//www.westcoastseeds.com/cdn/shop/products/MS490-Wildfire-Arugula-Seeds-1_515x640_crop_center.jpg?v=1610585933
Spicy Slice,"Spicy Slice jalapeño peppers result from hybrid plant breeding, and produce numerous uniform, perfect green pods per plant. These will eventually mature to a sweeter red colour, but at the green stage they are pungent and hot — substantially hotter than Jalapeño M, but with the distinct flavour of jalapeño chiles. Read More",//www.westcoastseeds.com/cdn/shop/products/PP679_Spicy-Slice-0X7A7694_515x640_crop_center.jpg?v=1610585395
Allium Ambassador 1/pk,"This relative of the humble storage onion sends up a giant, 13cm (7"") wide inflorescence of deep purple florets atop a... Read More",//www.westcoastseeds.com/cdn/shop/files/BU193Ambassador_515x640_crop_center.jpg?v=1721751829
Rhubarb Chard,"Pretty enough for the flower garden, this wonderful and richly flavoured heirloom variety has wide stalks and veins that are bright scarlet red and deeply crumpled leaves that are rich dark green. Cook the stalks as you would asparagus and the leaves as you would spinach, or enjoy both raw in salads. Read More",//www.westcoastseeds.com/cdn/shop/products/SW752-1_515x640_crop_center.jpg?v=1610654769
Holy Basil Organic,Holy Basil Organic seeds are CERTIFIED ORGANIC!. Holy Basil (medicinal basil) is frequently called Tulsi because it is widely used in Ayurvedic medicine. Read More,//www.westcoastseeds.com/cdn/shop/products/HR1023-Holy-Basil-0X7A2687_515x640_crop_center.jpg?v=1610585648
Microgreen Broccoli Organic,"CERTIFIED ORGANIC! Delectable crunch and flavour, and packed with all the nutrients of broccoli sprouts. Raw broccoli contains the cancer fighting compound sulforaphane. Broccoli organic microgreens seeds are fast-growing for quick harvests. Read More",//www.westcoastseeds.com/cdn/shop/products/Microgreen-Broccoli-Seeds-MG195-1_515x640_crop_center.jpg?v=1610657137
Back to Black,"We loved this petite pansy as soon as it bloomed, and it bloomed in the first year, over a long period. Just 14 to 16 weeks after seeding, its small, very dark, and flat-faced flowers began to appear. With regular deadheading Back to Black just blooms and blooms. Read More",//www.westcoastseeds.com/cdn/shop/products/FL1217_Viola-Back-to-Black-0X7A3257_515x640_crop_center.jpg?v=1610585150
Victory Early Butternut,"Victory Early Butternut squash was bred for speed, so it matures much earlier than the others. It's the top choice for any short-season garden, producing before the onset of cold weather. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ769-Victory-Butternut-Squash-Seeds_515x640_crop_center.jpg?v=1610585219
Purple Beauty,"Purple Beauty pepper seeds produce compact, bushy plants with thick protective foliage. The fruits begin to form mid-summer, starting as big, blocky, meaty three to four lobed green bell peppers, before maturing to an astonishing bright purple colour. Read More",//www.westcoastseeds.com/cdn/shop/products/PP621-1_515x640_crop_center.jpg?v=1610656719
Mini Blend,"Lovely, delicate Cosmos in a range of pinks and off-whites that only grows to 90cm (36"") tall in full sun. This is a shorter version of the Sensation Mix, but not technically a dwarf variety. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2415_MiniBlend_5023641_SQ_515x640_crop_center.jpg?v=1642552533
Bumble Bee Wildflower Blend,Several of the forty six species of North American bumble bees find themselves in peril due to loss of habitat and forage. Planting diverse species of nectar-rich flowers is one of the best strategies for pollinator conservation. Read More,//www.westcoastseeds.com/cdn/shop/products/FL3872-Bumble-Bee-Blend-bigstock--150800600-1_515x640_crop_center.jpg?v=1655502877
Empress of India,"This old heirloom variety has stunning crimson flowers that rise above cascading, deep green leaves for hanging baskets or planters. Empress of India nasturtium seeds produce flowers that make a striking contrast that never fails to attract attention. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3003-1_515x640_crop_center.jpg?v=1610656307
Alfalfa Sprouting Seeds Organic,"CERTIFIED ORGANIC! Organic Alfalfa sprouting seeds produce the familiar mild alfalfa sprout. Alfalfa is the only plant that offers a complete range of vitamins: A, B complex, C, E, and K! Read More",//www.westcoastseeds.com/cdn/shop/products/ZSS102_Alfalfa-Sprouts-1_515x640_crop_center.jpg?v=1610587144
Bouquet Dill,"Bouquet dill seeds grow into compact plants around 75-90cm (30-36"") tall. Bouquet Dill is a particularly good variety to grow for nice looking bunching at the market table, and works well in containers or smaller herb gardens. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1086-1_515x640_crop_center.jpg?v=1610588753
Ceres Organic,"CERTIFIED ORGANIC! The wonderfully aromatic, silvery-green leaves of sage bring a potent savoury accent to stews, soups, salads, and traditional stuffing. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1132-4_515x640_crop_center.jpg?v=1610656244
Yarrow,"The classic golden-flowered Yarrow is an old-world herb that grows to a height of 120cm (47"") making it a focal plant in the middle or back of flower beds. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2035-1_515x640_crop_center.jpg?v=1610579144
Musquee d'Hiver de Provence,"The deeply cut lobes and ribs of this gorgeous French heirloom distinguish it as one of the most decorative of all winter squash. Musquee d'Hiver de Provence also happens to have very rich, sweet, deep orange, finely flavoured flesh that is never watery. Read More",//www.westcoastseeds.com/cdn/shop/products/PU668-Musquee-Hiver-de-Provence-1_515x640_crop_center.jpg?v=1610587833
Wheatgrass Organic,"Certified Organic! Hard Red Wheat wheatgrass seeds are for growing wheat grass. Wheat grass sprouts are incredibly rich in chlorophyll and antioxidant enzymes and provide Vitamins B-12, B-6, K & C, Hard Red Wheat organic sprouting seeds produce sprouts that have a light, delicious flavour reminiscent of freshly picked corn. Read More",//www.westcoastseeds.com/cdn/shop/products/ZSS605_Sprouting_Hard-Red-Wheat_Seeds_11_515x640_crop_center.jpg?v=1610653779
Alternative Lawn Sprinkle Bag,"Composed of species of fine fescues, flowers, and clovers to form a low-growing, dense ground cover to quickly fill in spaces and provide colour and forage for pollinators. This low maintenance wildflower blend is an excellent alternative to traditional lawns, and looks spectacular in large plantings. Read More",//www.westcoastseeds.com/cdn/shop/products/Alternative-Lawn-Wildflower-Seeds-Sprinkle-Packet_FL3454R-1_515x640_crop_center.jpg?v=1610656297
Johnny Jump Up,"These perky little flowers are old-fashioned heirloom favourites and look like miniature pansies with lavender, yellow, and white faces. Direct seed Johnny Jump Up viola seeds from April to July. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3411-1_515x640_crop_center.jpg?v=1610581861
Bolero,"Pairs of 8cm (3"") long pods containing seven to nine peas each are borne atop bushy plants that grow to 75cm (30"") tall. The fat peas are sweet and perfect for fresh eating or freezing. Read More",//www.westcoastseeds.com/cdn/shop/products/PE_Bolero-Shelling-Pea-Seeds_515x640_crop_center.jpg?v=1610588952
Get Stuffed Organic,"Large, substantial fruits grow in clusters of three to four on sturdy, relatively short vines. Get Stuffed Organic features blocky, striped fruits that are almost the shape of a bell pepper. Read More",//www.westcoastseeds.com/cdn/shop/products/TM846-Get-Stuffed-IMG_9901_515x640_crop_center.jpg?v=1576356091
Blue Spear,"This brand new cultivar of English lavender is hardy to Zone 6, but blooms in the first year, so can be grown as an annual in cooler climes. It is the tallest and showiest of the first-year-blooming types, with decidedly blue tinted flower spikes over subdued grey-green foliage. Read More",//www.westcoastseeds.com/cdn/shop/products/HR_Lavender-Blue-Spear-0X7A5473_515x640_crop_center.jpg?v=1610588781
Bloody Mary,"This sumptuous mixture includes flowers from solid blood red to cream with red flecks and edges. Bloody Mary Nasturtium seeds produce low growing, clump-forming plants with darker than average leaves. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3886_Nasturtium-Bloody-Mary-0X7A8559_515x640_crop_center.jpg?v=1604518542
Rouge Vif d’Etampes,"This French heirloom produces beautiful deep red, flat pumpkins with deep ridges that are the first to colour in the pumpkin patch. Sow Rouge Vif d’Etampes pumpkin seeds for a sprawling plant that produces two to four lovely 9kg (20lb) fruits. Read More",//www.westcoastseeds.com/cdn/shop/products/PU664-Rouge-vif-d_etampes_515x640_crop_center.jpg?v=1610656645
Hungarian Black Organic,"Gorgeous jalapeno-shaped peppers mature from bright green to nearly jet black, and finally to intense scarlet red. The productive 60cm (24"") tall... Read More",//www.westcoastseeds.com/cdn/shop/files/PP675-Black-Hungarian-0X7A0401_515x640_crop_center.jpg?v=1684958567
La Roma,"Try La Roma in a greenhouse or under a cloche cover, and you'll get a huge haul of tomatoes that come in a fairly concentrated set. This is particularly nice for growers wanting to can their harvest. Read More",//www.westcoastseeds.com/cdn/shop/products/TM785-12_515x640_crop_center.jpg?v=1610654437
Purity,Purity cosmos seeds yield single snow-white flowers to lighten the dark areas of a cottage garden. Regular dead heading will encourage continuous flowering from summer into late autumn. Read More,//www.westcoastseeds.com/cdn/shop/products/FL2398-1_515x640_crop_center.jpg?v=1610588091
Narcissus Golden Pearl 5/pk,"Narcissus Golden Pearl is one of the double-petalled daffodils, with a highly ruffled, pale orange corona. It grows 40cm (16"") tall in full sun to partial shade, and is deer resistant. Read More",//www.westcoastseeds.com/cdn/shop/products/BU609-NarcissusGoldenPearl-150423gbo018_515x640_crop_center.jpg?v=1623005070
Lemongrass Seeds,Lemongrass is a tropical plant from the grass family (Poaceae) that will grow well in temperate regions if given the right conditions. Sow Lemongrass seeds indoors in late winter using bottom heat or a seedling heat mat. Read More,//www.westcoastseeds.com/cdn/shop/products/Lemongrass-Plant-11_515x640_crop_center.jpg?v=1610586341
Early Wonder Tall Top,"Early Wonder Tall Top beet seeds beets adapt to all seasons but are especially good in early spring with quick growth in chilly soils. They produce tall, tasty green leaves with red stems and slightly flattened roots with wonderfully sweet flavour. Read More",//www.westcoastseeds.com/cdn/shop/products/BT160_Early-Wonder-Tall-Top-Beet_515x640_crop_center.jpg?v=1610588225
Touchstone Gold,This is the ultimate golden beet. Its roots are smooth and orange/red on the outside with intensely golden flesh beneath and subtle banding. The green tops are tall and strong — not to mention sweet and delicious. Read More,//www.westcoastseeds.com/cdn/shop/products/BT179-1_515x640_crop_center.jpg?v=1610587388
Regina,"Regina alpine strawberries are easy to grow from seed. The plant produces small, delicate, bright red fruits from summer until the first frost over several seasons. The berries are incredibly sweet, with a uniquely rich and fruity flavour. Read More",//www.westcoastseeds.com/cdn/shop/products/FR890-Regina_515x640_crop_center.jpg?v=1630269365
Dwarf Pink,"Dwarf Pink Alyssum grows into a carpet of little pink, fragrant flowers. Plants grow and bloom quickly after sowing. They are excellent... Read More",//www.westcoastseeds.com/cdn/shop/files/EQIbiPh0ayREqBgSgwVVvaABWeHXWCtPia7ulYlCTq4hYg_515x640_crop_center.jpg?v=1698865942
Cat Grass,"Cat Grass can handle both low light and drought conditions so it makes a very nice indoor plant that is also safe for pets--cats, dogs, rabbits and guinea pigs like to nibble it. Read More",//www.westcoastseeds.com/cdn/shop/products/CC100catgrass_515x640_crop_center.jpg?v=1650300486
Jewel Mix,"This is an easy-to-grow compact nasturtium for gardens and planters. Jewel Mix produces colourful double blooms of light yellow, orange and deep red. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2999-1_515x640_crop_center.jpg?v=1610654402
Gladiator,We like this parsnip for its quick germination and early growth; it is bigger and more vigorous right from the beginning. This variety is wide at the top with a short body. Read More,//www.westcoastseeds.com/cdn/shop/products/PN581-1_515x640_crop_center.jpg?v=1610654602
Foxgloves,"Tubular, nodding flowers are often speckled and tumble on husky spires to 2m (6') tall. They are welcome in the border, woodland, or whenever they randomly self-sow. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2604-1_515x640_crop_center.jpg?v=1610652406
High Scent,"Plant High Scent sweet pea seeds for incredibly luxurious floral fragrance. This variety has large, pure white flowers that blush at the edges. The vines are tall at 120cm (48""), and the stems are long, making them superb and elegant cut flowers. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3287-1_515x640_crop_center.jpg?v=1610578875
Ching Chiang Shanghai Pac Choi,"Also known as Shanghai Pac Choi, this is a beautiful little vase-shaped plant. This early baby pac choi is mild and tender with medium-green leaves on pale-green, spoon-shaped stalks (petioles). Read More",//www.westcoastseeds.com/cdn/shop/products/MU528-1_515x640_crop_center.jpg?v=1610656978
Hyacinth Seabreeze,"Hyacinths bloom early to mid-spring, and seem to always be in bloom at... Read More",//www.westcoastseeds.com/cdn/shop/files/BU618Seabreese_515x640_crop_center.jpg?v=1721749583
Fizzy Fruit Salad Mix,This spreading hybrid pansy has exceptional overwintering ability. Ruffled petals in a wide range of colours bring a dramatic splash of vibrancy to the winter garden. Sow Fizzy Fruit Salad Mix Viola seeds in July and August for blooms from October right through to the following May. Read More,//www.westcoastseeds.com/cdn/shop/products/FL3812-1_515x640_crop_center.jpg?v=1610582588
Yellow Sweet Clover Organic,"This biennial cover crop has been used for centuries to improve soil structure, fix nitrogen, provide nutritious pasturage, and feed honey bees. Its taproots are widely branched and deeply penetrate the subsoil, using nutrients unavailable to other plants. Read More",//www.westcoastseeds.com/cdn/shop/products/CC402-yellow-sweet-clover-organic_515x640_crop_center.jpg?v=1610589506
Indian Prince,"Noted for its doubled double row of flower petals, Indian Prince Calendula has a bright golden colour on its surface. The bottom of each petal is a darker orange, so it takes on a unique two-tone effect viewed from the side. Read More",//www.westcoastseeds.com/cdn/shop/products/FL2258_Indian-Prince_IMG_4477_515x640_crop_center.jpg?v=1610656520
Muscari Pink Sunrise 5/pk,"Beautiful, hybrid hyacinth that will grab attention in any garden space. Conical racemes are densely packed with muted-pink florets that gradually... Read More",//www.westcoastseeds.com/cdn/shop/products/BU653-MuscariPinkSunrise-120904kwe003_515x640_crop_center.jpg?v=1623005375
White Pampas Grass,"This familiar ornamental grass takes three years to reach maturity from seed, but the end result is magnificent. A fountain of soft blue-grey foliage erupts from the centre of a massive clump. Read More",//www.westcoastseeds.com/cdn/shop/products/GR406-White-Pampas-Grass_515x640_crop_center.jpg?v=1576612979
Broccoli Organic,"Grow broccoli sprouts for health and vitality! Conveniently, broccoli organic sprouting seeds are the easiest sprout to start with. Broccoli sprouts have a very pleasing, mild flavour, and are fast and easy to grow. Read More",//www.westcoastseeds.com/cdn/shop/products/ZSS132_Sprouting_Broccoli_Seeds_11_515x640_crop_center.jpg?v=1610582179
Guelph Millennium,"This all male asparagus variety was bred at the University of Guelph. It is much loved for its cold tolerance, its productivity, and the solid green colour of its tasty spears. Read More",//www.westcoastseeds.com/cdn/shop/products/AS109-Guelph-Millennium-Asparagus-Seeds-110464655_515x640_crop_center.jpg?v=1610589124
Gypsy,"Gypsy broccoli seeds were bred for heat resistance, so it holds better in summer heatwaves and is extremely slow bolting. What that means for the gardener is less urgency when harvesting from mid-summer to the fall. Read More",//www.westcoastseeds.com/cdn/shop/products/BR183-1_515x640_crop_center.jpg?v=1610586470
Dwarf Sunspot,"Single, enormous flowers up to 30cm (12"") across on very short stems. Dwarf Sunspot sunflower seeds produce stout plants that rarely grow taller than 60cm (24""). Read More",//www.westcoastseeds.com/cdn/shop/products/FL3274-1_515x640_crop_center.jpg?v=1610653867
Winterbor,"Winterbor Kale seeds are our most frost hardy variety. Hybrid vigour really shows in this Scottish kale. Plants are very tall and extremely productive with thick, very curly, ruffled, blue-green leaves. Read More",//www.westcoastseeds.com/cdn/shop/products/KL422-1_515x640_crop_center.jpg?v=1610656273
Red Clover Organic,"Mild and delicious, red clover sprouts are one of the highest dietary sources of isoflavones. Vitamins A, B, C, E and K, Calcium, Iron, Magnesium, Phosphorus, Potassium, Zinc, Carotene, Chlorophyll, and amino acids. Read More",//www.westcoastseeds.com/cdn/shop/products/Red-Clover-Sprouting-Seeds_ZSS302-1_515x640_crop_center.jpg?v=1610589005
Integro Coated Organic,"Integro Organic cabbage seeds produced heads that held well in our field trials, and were very uniform. This is a superior cabbage for summer or fall harvests that works well for miniature heads if grown at 20cm (8"") spacing. Read More",//www.westcoastseeds.com/cdn/shop/products/CB_Integro-0X7A7720_515x640_crop_center.jpg?v=1610657068
Clancy Pelleted,"Clancy potato seeds represent a novel new way to produce beautiful, nutritious spuds. Fancy Clancy potatoes are a beautiful natural mix of red and rose-gold creamer-size spuds that are ready to harvest 110 days from transplant. Read More",//www.westcoastseeds.com/cdn/shop/products/PT624-2018-02-05-2idaho_515x640_crop_center.jpg?v=1610655359
Kentucky Blue,"This AAS Winner combines the great flavour of Kentucky Wonder with the cool season hardiness of Blue Lake. Its long, round pods are dark-green and straight, and the plants bear over a long season. Read More",//www.westcoastseeds.com/cdn/shop/products/BN128-1_515x640_crop_center.jpg?v=1610656563
Dolly Organic,"Dolly Organic basil seeds are CERTIFIED ORGANIC! Dolly is a fast growing and particularly nice Genovese type basil with large, highly aromatic leaves just waiting to be torn fresh over pasta and salads. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1025_Basil-Dolly_1_515x640_crop_center.jpg?v=1610656231
Purple Mist Organic Pea Seeds,Purple Mist Organic Pea Seeds produce a productive Dutch heirloom that really is a multi-purpose pea. The young pods can be enjoyed as snow peas. The pods can be left to develop their unusual purple colour for mid-season shelling peas. Read More,//www.westcoastseeds.com/cdn/shop/products/PE626_Purple-Mist_pea_seeds_11_515x640_crop_center.jpg?v=1610582179
King Size Red,"King Size Red are showy, and make superb cut flowers. The large, bright red flowers are luxuriant without going over the top. The elaborate flowers open up to 8cm (3"") across, with slightly curled crimson petals. They top stems around 90cm (35"") tall and bloom all summer. Read More",//www.westcoastseeds.com/cdn/shop/products/FL4008-King-Size-Red-CA-2989-02_515x640_crop_center.jpg?v=1625085661
Microgreen Kale Seeds,"Plant microgreen kale seeds and grow one of the most nutritious super-foods known. They are high in vitamins A, B, C, E, and K, as well as calcium, iron, magnesium, phosphorus, potassium, zinc, carotene, amino acids, and protein. Read More",//www.westcoastseeds.com/cdn/shop/products/MG426-Microgreen-Kale-Seeds_515x640_crop_center.jpg?v=1610583581
Santo Organic,"Santo Organic cilantro seeds are CERTIFIED ORGANIC! Cilantro ""Santo"" is bred to be slow bolting. Direct sow short rows of these frost-tolerant plants every other week from spring to late summer for continuous harvest. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1074-1_515x640_crop_center.jpg?v=1610585818
Purple Tansy,"Pale, mauve-blue, fragrant flowers unfold like ferns at the top of long leafy stems and attracts bees from miles around. The delicate, lacy foliage bears a resemblance to yarrow. It fits in the vegetable garden as a cover crop or in a garden bed for quirky purple flowers. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3445-1_515x640_crop_center.jpg?v=1610579741
Windsor,"The plants grow 90-120cm (3-4') tall. The light green pods, which contain 6-7 large pale green seeds each, shell easily. Read More",//www.westcoastseeds.com/cdn/shop/products/BN150-2_515x640_crop_center.jpg?v=1610583133
Green Perilla Shiso Seeds,"Green Perilla shiso seeds make a wonderful addition to any herb garden. This profoundly flavourful culinary herb is used across south and east Asia, and has been used in Chinese medicine for thousands of years. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1157-Perilla-Green-Select-IMG_8497_515x640_crop_center.jpg?v=1623695883
Minowase Summer Cross Daikon,"Daikon radishes are large and require deeply prepared soil, as the long ones can grow to be over 30cm (12"") long. Sow and grow as you would turnips, thinning them to 15-20cm (6-8"") apart. Read More",//www.westcoastseeds.com/cdn/shop/products/RD677-1_515x640_crop_center.jpg?v=1610656938
Microgreen Basil Organic,"These little greens have all the flavour of mature basil, with a pleasingly crunchy texture. They add a delicious herbal note to salads and sandwiches, and make an elegant topping for pastas and soups. Read More",//www.westcoastseeds.com/cdn/shop/products/MG1171-Micro-Basil_515x640_crop_center.jpg?v=1576612991
Howden,Howden is popular among home gardeners and growers alike for its uniquely elongated barrel shape that is ideal for Halloween carving. Read More,//www.westcoastseeds.com/cdn/shop/products/PU661-1_515x640_crop_center.jpg?v=1610657052
Microgreen Arugula Seeds,"Fast to germinate and fast to grow, arugula microgreens seeds are full of flavour. Rich in vitamins A, B, C, and E, as well as calcium, iron, magnesium, niacin, phosphorus, potassium, and essential amino acids. Arugula microgreens contain up to 25% protein! Read More",//www.westcoastseeds.com/cdn/shop/products/Microgreen-Arugula-Seeds-MG449-1_515x640_crop_center.jpg?v=1610656911
Rose Bon Bon,"Rose Bon Bon cosmos seeds are a new Fleuroselect Award winning variety from France, and part of the Double Click Cosmos series. Fully double flowers appear in soft rose pink on easy-to-grow, medium sized plants. Height to 1.2m (4'). Read More",//www.westcoastseeds.com/cdn/shop/products/FL2028-Rose-Bonbon-0X7A4275_515x640_crop_center.jpg?v=1610654259
Dwarf Grey Sugar,"Dwarf Grey Sugar snow pea seeds produce the earliest and most dwarf edible pods of all. The prolific, bushy vines grow to 1.5m (5') tall, and benefit from staking. Read More",//www.westcoastseeds.com/cdn/shop/products/PE592-1_515x640_crop_center.jpg?v=1610588199
Bull’s Blood,"Bull's Blood beet seeds produce baby greens in 35 days, or wait 50-60 days for beetroot. This is the classic choice for salad and micro-green growers. Read More",//www.westcoastseeds.com/cdn/shop/products/BT174-Bulls-Blood-Beet-Seeds-0X7A1000_515x640_crop_center.jpg?v=1610586773
Genovese Organic,Genovese organic basil seeds are the very best Italian pesto variety of basil. This is the traditional Italian heirloom variety of basil. Read More,//www.westcoastseeds.com/cdn/shop/products/HR1019-1_515x640_crop_center.jpg?v=1610656023
Three Week Microgreen Seeds,"For a blend of truly wild colours and flavours, plant the Three Week Microgreen seeds. This blend is spicy, crunchy, and eye-catching, making a sophisticated garnish or side salad. Read More",//www.westcoastseeds.com/cdn/shop/products/Three-Week-Blend-Microgreen-Seeds-MG108-1_515x640_crop_center.jpg?v=1610654872
Neptune,"Versatility and long storage ability makes this variety a good choice for growers and homesteaders alike. Neptune carrot seeds produce large, handsome, medium-orange roots grow 20-25cm (8-10"") long, with outstanding flavour and crisp, crunchy texture. Read More",//www.westcoastseeds.com/cdn/shop/products/CR310-1_515x640_crop_center.jpg?v=1610586396
Hopi Red Dye Organic,"This variety looks spectacular as micro-greens, but it’s also ornamental in the garden, and grows prolific seed heads that are chock full of seeds that can be ground into gluten free flour. Or use the whole plant to create intense red dye as in the Hopi tradition. Read More",//www.westcoastseeds.com/cdn/shop/products/MU560-Hopi-Red-Dye-Amaranth-Seeds_515x640_crop_center.jpg?v=1610588155
Rouge d’Hiver,Rouge d'Hiver lettuce seeds are a favourite for market gardeners and home gardeners alike. Superb flavour and unusual ability to stand up to whatever the weather throws its way. Read More,//www.westcoastseeds.com/cdn/shop/products/LT478-1_515x640_crop_center.jpg?v=1610582201
Peppermint Chard,"Plant Peppermint Chard seeds in your organic vegetable garden for delicious, striking chard plants. Dark green, savoyed leaves top pink and white striped petioles on this striking and unique variety. Read More",//www.westcoastseeds.com/cdn/shop/products/SW763-Peppermint-0X7A4636_515x640_crop_center.jpg?v=1610656634
Shirley Double Mix,"Vivid red, pink, salmon, and white blooms come in singles and doubles atop 80cm (31"") stems. Sow Shirley Double Mix poppy seeds at two week intervals from late February to mid-April for flowers from mid- to late summer. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3106-1_515x640_crop_center.jpg?v=1610654089
Chioggia Guardsmark Organic,"CERTIFIED ORGANIC! Chioggia Guardsmark Organic beet seeds are a striking Italian heirloom variety with light-red, smooth round roots and bright pink and white alternating rings inside. These sweet beets (pronounced kee-OH-jee-ah) are about 5cm (2"") in diameter with mild green leaves and pale red stems. Read More",//www.westcoastseeds.com/cdn/shop/products/BT169_Chioggia-Organic-Beet-Seeds-1_515x640_crop_center.jpg?v=1610656718
